frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.641500,0.159648,32.574516,0.885781,31.272062,37.171431
17,0.300006,4.333800,0.159296,32.568736,0.885868,31.307956,37.401404
18,0.316673,4.646200,0.159424,32.610905,0.886345,31.495992,37.667784
19,0.333340,4.683500,0.159584,32.601444,0.886619,31.487637,37.904829
20,0.350007,4.924000,0.159776,32.658582,0.887482,31.602753,38.016818
21,0.366674,4.544200,0.159616,32.707234,0.888171,31.566602,38.035309
22,0.383341,4.820900,0.158624,32.659337,0.888233,31.678536,38.275219
23,0.400008,4.853300,0.159712,32.758412,0.889425,31.782786,38.760424
24,0.416675,4.984500,0.442336,32.795408,0.890416,31.854363,38.873691
25,0.433342,4.868000,0.158784,32.741585,0.890719,31.841236,38.928028
26,0.450009,5.130100,0.161216,32.819315,0.891878,31.861490,38.783109
27,0.466676,4.581000,0.158112,32.867956,0.893061,31.847777,38.530040
28,0.483343,4.737500,0.160928,33.006265,0.894103,31.955828,38.564834
29,0.500010,4.879300,0.159072,32.962413,0.895010,32.028363,38.807809
30,0.516677,5.017700,0.159424,33.020932,0.896093,32.035873,38.881157
31,0.533344,4.880000,0.376352,33.002428,0.896750,32.085353,38.837090
32,0.550011,5.212500,0.340064,33.076645,0.898662,32.093016,38.514843
33,0.566678,4.719600,0.160096,33.081537,0.899303,32.082105,38.268243
34,0.583345,4.970900,0.161152,33.113862,0.900242,32.113243,38.157721
35,0.600012,4.566600,0.159584,33.174325,0.901944,32.203886,38.379831
36,0.616679,4.683600,0.159392,33.184547,0.902322,32.342926,38.627298
37,0.633346,4.586800,0.159680,33.326598,0.904273,32.390543,38.661949
38,0.650013,4.911200,0.159744,33.281975,0.905443,32.457623,38.549883
39,0.666680,4.689200,0.159520,33.278504,0.906604,32.445031,38.663026
40,0.683347,5.108000,0.160704,33.430408,0.909017,32.578910,38.602292
41,0.700014,4.360400,0.164128,33.519603,0.910704,32.661440,38.434872
42,0.716681,5.019200,0.161472,33.618812,0.912768,32.644071,38.331254
43,0.733348,4.556100,0.162176,33.643213,0.914664,32.737721,38.059162
44,0.750015,5.051500,0.373952,33.631570,0.915947,32.720932,37.846042
45,0.766682,4.759500,0.163648,33.714596,0.918396,32.628894,37.642300
46,0.783349,4.602900,0.164512,33.785323,0.920698,32.598535,37.480405
47,0.800016,4.601100,0.165120,33.862142,0.923234,32.622082,37.334660
48,0.816683,4.998300,0.166304,33.876317,0.925208,32.593841,37.041788
49,0.833350,4.600400,0.168416,33.904405,0.927188,32.593167,36.878322
50,0.850017,4.969600,0.166240,34.068427,0.930041,32.577096,36.849168
51,0.866684,4.554700,0.166048,34.088623,0.932311,32.591227,36.737288
52,0.883351,4.864000,0.164832,34.271146,0.935898,32.503873,36.431891
53,0.900018,4.805000,0.165760,34.171799,0.937781,28.407277,29.542690
54,0.916685,5.029200,0.435840,33.726380,0.933662,21.340486,21.525414
55,0.933352,4.889200,0.160800,33.544458,0.933152,20.757396,20.941507
56,0.950019,5.247700,0.153184,33.810568,0.939168,19.967344,20.113422
57,0.966686,4.832300,0.147040,34.487738,0.944990,21.361310,21.564846
58,0.983353,5.432500,0.147008,35.144124,0.951466,23.685014,23.967902
59,1.000020,4.588400,0.146304,35.062531,0.958388,25.405281,25.755944
60,1.016687,4.698200,0.147520,35.628358,0.964110,27.145022,27.717855
61,1.033354,4.604400,0.145824,35.525574,0.962339,24.677347,24.970720
62,1.050021,4.851100,0.146400,34.763501,0.949021,21.831267,21.980399
63,1.066688,4.773700,0.147104,33.921471,0.933326,20.219263,20.372129
64,1.083355,5.029900,0.149920,32.086231,0.911912,19.608176,19.766508
65,1.100022,4.303400,0.148128,30.835867,0.892880,21.177129,21.507360
66,1.116689,4.515300,0.151648,30.408584,0.882244,22.824907,23.512246
67,1.133356,4.726400,0.160736,30.242483,0.875094,23.757866,24.701368
68,1.150023,4.917900,0.163776,30.125425,0.869825,24.330358,25.505158
69,1.166690,4.600200,0.164736,30.101974,0.865723,25.447661,27.073904
70,1.183357,4.585000,0.164800,29.994679,0.862627,28.133120,32.073772
71,1.200024,4.648400,0.163040,29.913325,0.860326,28.167460,32.206128
72,1.216691,5.001400,0.162912,29.863494,0.858304,28.241730,32.398511
73,1.233358,4.407700,0.163104,29.839371,0.856087,28.295861,32.676472
74,1.250025,4.653300,0.160160,29.769484,0.854063,28.411186,32.945680
75,1.266692,4.641700,0.161472,29.673521,0.852165,28.434919,33.079069
76,1.283359,4.765900,0.163296,29.574252,0.850407,28.354757,33.109318
