frame,time_s,cpu_ms,gpu_ms,psnr_reproj,ssim_reproj,psnr_direct,ssim_direct,coverage
16,0.070839,1.510700,0.036448,34.964230,0.986628,32.726437,0.979255,0.999689
17,0.075006,1.628100,0.036032,35.042781,0.986639,32.860061,0.979449,0.999689
18,0.079173,1.591200,0.035296,34.834017,0.986148,32.573728,0.978532,0.999689
19,0.083340,1.671500,0.036160,34.425825,0.985140,32.387239,0.978029,0.999689
20,0.087507,1.405500,0.035776,34.995015,0.986099,32.710516,0.978607,0.999689
21,0.091674,1.604300,0.035648,35.069520,0.986220,32.599891,0.978460,0.999689
22,0.095841,1.401500,0.035680,35.115008,0.986348,32.466048,0.977572,0.999689
23,0.100008,1.671700,0.418816,34.741814,0.985410,32.518670,0.977300,0.999689
24,0.104175,2.185800,0.035648,35.084976,0.986226,32.803302,0.978568,0.999689
25,0.108342,1.594200,0.035648,35.110495,0.986227,32.803060,0.978196,0.999689
26,0.112509,1.558900,0.036256,35.038163,0.986164,32.560173,0.977458,0.999687
27,0.116676,1.695600,0.035200,34.562643,0.985200,32.321630,0.976746,0.999689
28,0.120843,1.489400,0.036032,34.986886,0.986025,32.692769,0.977692,0.999689
29,0.125010,1.722400,0.035328,34.988777,0.985985,32.659829,0.977534,0.999687
30,0.129177,1.863700,0.035008,34.891937,0.985774,32.511041,0.977162,0.999687
31,0.133344,1.414000,0.035584,34.483393,0.984845,32.385660,0.976499,0.999687
32,0.137511,1.730000,0.035968,34.871047,0.985714,32.646373,0.977383,0.999687
33,0.141678,1.819600,0.034784,34.993796,0.986030,32.662597,0.977453,0.999687
34,0.145845,1.415300,0.035904,34.816710,0.985580,32.485199,0.976753,0.999687
35,0.150012,2.042500,0.035744,34.520995,0.985121,32.426176,0.976491,0.999687
36,0.154179,1.854700,0.034976,35.072760,0.986105,32.873308,0.977766,0.999687
37,0.158346,1.454200,0.035968,35.139255,0.986029,32.745149,0.977300,0.999687
38,0.162513,1.554900,0.036384,35.081588,0.985963,32.676462,0.977221,0.999687
39,0.166680,1.687700,0.035200,34.621510,0.985078,32.492127,0.976507,0.999687
40,0.170847,1.741500,0.035520,35.049975,0.985915,32.883656,0.977989,0.999687
41,0.175014,1.552800,0.035872,35.085701,0.986107,32.675638,0.977099,0.999687
42,0.179181,1.783000,0.035040,35.043117,0.986021,32.659329,0.976998,0.999687
43,0.183348,1.976600,0.036160,34.913144,0.985704,32.667645,0.976844,0.999687
44,0.187515,1.459800,0.035584,35.163065,0.986129,32.895895,0.977659,0.999687
45,0.191682,1.749400,0.036224,35.121265,0.986229,32.725740,0.977088,0.999687
46,0.195849,1.917200,0.035872,34.974929,0.985788,32.729546,0.977032,0.999687
47,0.200016,1.626300,0.036000,35.000657,0.985899,32.795043,0.977492,0.999687
48,0.204183,1.660600,0.035744,35.146199,0.986290,32.793013,0.977568,0.999687
49,0.208350,2.213600,0.036576,35.088914,0.986131,32.789931,0.977417,0.999687
50,0.212517,1.337100,0.036096,34.937930,0.985688,32.758513,0.977152,0.999687
51,0.216684,1.384400,0.036288,34.993717,0.985822,32.839579,0.977343,0.999687
52,0.220851,1.727100,0.035392,35.152046,0.986116,32.804338,0.977358,0.999687
53,0.225018,1.526000,0.035968,34.999358,0.986088,32.749842,0.977457,0.999687
54,0.229185,1.828800,0.035904,34.833728,0.985428,32.717466,0.977012,0.999687
55,0.233352,1.551700,0.035424,34.849820,0.985422,32.732094,0.977147,0.999686
56,0.237519,1.343600,0.035840,35.153882,0.986116,32.837282,0.977643,0.999686
57,0.241686,1.746600,0.035712,35.107026,0.986086,32.889185,0.977744,0.999686
58,0.245853,1.374700,0.035328,34.817496,0.985326,32.770423,0.977233,0.999686
59,0.250020,1.514000,0.036320,34.845298,0.985276,32.702688,0.977041,0.999686
60,0.254187,1.748900,0.035168,35.081306,0.985922,32.839871,0.977677,0.999686
61,0.258354,1.436800,0.036448,35.033218,0.986002,32.832754,0.977798,0.999686
62,0.262521,1.590000,0.035744,34.791088,0.985240,32.731716,0.977205,0.999686
63,0.266688,1.875700,0.035168,34.974055,0.985620,32.721667,0.977252,0.999686
64,0.270855,1.771200,0.036096,35.126163,0.985915,32.853852,0.977553,0.999686
65,0.275022,1.496200,0.035712,34.930642,0.985503,32.832072,0.977468,0.999686
66,0.279189,1.560000,0.395104,34.780065,0.985255,32.725584,0.977332,0.999686
67,0.283356,1.410600,0.036448,34.847677,0.985350,32.690611,0.977262,0.999686
68,0.287523,1.543200,0.036128,34.885132,0.985439,32.767339,0.977382,0.999686
69,0.291690,1.747300,0.035072,34.777496,0.985383,32.720119,0.977345,0.999686
70,0.295857,2.645700,0.036096,34.644471,0.985249,32.582199,0.977178,0.999686
71,0.300024,2.102200,0.036576,34.798106,0.985458,32.692809,0.977391,0.999686
72,0.304191,1.489100,0.036160,34.789299,0.985501,32.747128,0.977522,0.999686
73,0.308358,1.536700,0.036544,34.793372,0.985595,32.841644,0.978106,0.999686
74,0.312525,1.922900,0.035840,34.672184,0.985458,32.698559,0.977793,0.999686
75,0.316692,1.371600,0.036096,34.814479,0.985608,32.746451,0.977644,0.999686
76,0.320859,1.716500,0.036512,34.876939,0.985635,32.864535,0.978008,0.999686
77,0.325026,1.832300,0.035296,34.766943,0.985404,32.846564,0.977957,0.999686
78,0.329193,1.513100,0.036096,34.731722,0.985392,32.768020,0.977859,0.999686
79,0.333360,1.495100,0.036064,34.894279,0.985690,32.749329,0.978045,0.999686
80,0.337527,1.839400,0.035232,34.932412,0.985688,32.794014,0.978115,0.999686
81,0.341694,1.687000,0.036096,34.768971,0.985384,32.736699,0.977822,0.999686
82,0.345861,1.715200,0.036224,34.768354,0.985379,32.704565,0.977703,0.999686
83,0.350028,1.858500,0.035200,34.929616,0.985623,32.740373,0.977820,0.999686
84,0.354195,1.425200,0.036256,35.044855,0.985860,32.941945,0.978451,0.999686
85,0.358362,1.955300,0.036768,34.951545,0.985605,32.879968,0.978240,0.999686
86,0.362529,2.043700,0.036000,34.911621,0.985600,32.903952,0.978555,0.999686
87,0.366696,1.725400,0.036320,35.004749,0.985941,32.930141,0.978705,0.999686
88,0.370863,1.650600,0.037088,35.024797,0.985936,33.015781,0.979209,0.999686
89,0.375030,1.529100,0.036352,34.975331,0.985747,32.901169,0.978866,0.999686
90,0.379197,1.797900,0.035840,35.061836,0.985889,33.021190,0.978877,0.999686
91,0.383364,1.389600,0.037248,35.202406,0.986362,33.208368,0.979209,0.999684
92,0.387531,1.378300,0.036128,35.229655,0.986392,33.449815,0.979997,0.999684
93,0.391698,1.378300,0.035712,35.091420,0.986041,33.298848,0.979441,0.999684
94,0.395865,1.486300,0.036416,35.176429,0.986306,33.335776,0.979757,0.999684
95,0.400032,1.626000,0.035712,35.298792,0.986462,33.476134,0.979958,0.999684
96,0.404199,1.507100,0.036192,35.264950,0.986366,33.503706,0.979975,0.999684
97,0.408366,1.398500,0.036320,35.170506,0.986250,33.424251,0.979947,0.999684
98,0.412533,1.677400,0.036864,35.174053,0.985965,33.444982,0.979837,0.999684
99,0.416700,1.391500,0.036224,35.457892,0.986527,33.444240,0.979684,0.999684
100,0.420867,1.360000,0.036352,35.314388,0.986292,33.267128,0.979340,0.999684
101,0.425034,1.620700,0.035968,35.330534,0.986389,33.359174,0.979566,0.999684
102,0.429201,1.422000,0.036256,35.269459,0.986329,33.366791,0.979545,0.999682
103,0.433368,1.686000,0.037152,35.474808,0.986714,33.515327,0.979993,0.999682
104,0.437535,1.374700,0.036256,35.280776,0.986407,33.307716,0.979515,0.999682
105,0.441702,1.470700,0.036576,35.288989,0.986330,33.313426,0.979652,0.999682
106,0.445869,1.504000,0.036096,35.248135,0.986238,33.300679,0.979476,0.999682
107,0.450036,1.802000,0.036416,35.394968,0.986476,33.474186,0.979892,0.999682
108,0.454203,1.686600,0.036480,35.261670,0.985847,33.384554,0.979359,0.999682
109,0.458370,1.492400,0.036544,35.168541,0.985189,33.259415,0.978304,0.999682
110,0.462537,1.371600,0.036640,35.561219,0.986756,33.545611,0.979937,0.999682
111,0.466704,1.632500,0.036352,35.535590,0.986693,33.506943,0.979776,0.999682
112,0.470871,1.295300,0.036320,35.520141,0.986793,33.646860,0.980209,0.999682
113,0.475038,1.395600,0.241568,35.429498,0.986580,33.496014,0.979981,0.999682
114,0.479205,2.187800,0.035936,35.528767,0.986795,33.654560,0.980268,0.999682
115,0.483372,1.363300,0.036640,35.574486,0.986838,33.584539,0.980155,0.999682
116,0.487539,1.425700,0.036544,35.509579,0.986796,33.505888,0.980041,0.999682
117,0.491706,1.607400,0.035872,35.529836,0.986721,33.627384,0.980026,0.999682
118,0.495873,1.382800,0.036672,35.514309,0.986743,33.617379,0.980269,0.999682
119,0.500040,1.487900,0.035872,35.506886,0.986644,33.483515,0.979612,0.999682
