frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,13.916600,1.031904,35.420311,0.933433,33.426440,37.706060
17,0.300006,14.534000,0.842016,35.459636,0.933730,33.535983,37.918323
18,0.316673,14.309900,0.839040,35.470249,0.934052,33.692264,38.250448
19,0.333340,14.401000,1.071136,35.544527,0.934624,33.750313,38.550617
20,0.350007,14.678900,0.835584,35.585865,0.935126,33.919825,38.786301
21,0.366674,14.095700,0.843520,35.579417,0.935533,33.915762,38.786775
22,0.383341,15.109700,0.840384,35.643082,0.935976,33.978286,38.972195
23,0.400008,13.978600,0.840864,35.710273,0.936511,34.267233,39.596046
24,0.416675,14.845800,0.836992,35.758077,0.937101,34.367507,39.683842
25,0.433342,13.641200,0.839072,35.723134,0.937561,34.326967,39.640191
26,0.450009,14.509200,1.010272,35.736297,0.937803,34.282727,39.459803
27,0.466676,13.873000,0.845088,35.848263,0.938655,34.252826,39.163060
28,0.483343,14.947200,0.838464,35.838699,0.939153,34.313122,39.216887
29,0.500010,14.295900,1.161056,35.846615,0.939613,34.375153,39.384683
30,0.516677,14.978000,0.842880,35.890988,0.940111,34.389639,39.443427
31,0.533344,14.464400,1.036608,35.963092,0.940936,34.513550,39.413331
32,0.550011,15.372500,0.839392,35.936943,0.941325,34.376424,38.947583
33,0.566678,16.018600,1.033600,35.924470,0.941746,34.236154,38.628349
34,0.583345,14.956800,0.856768,35.975336,0.942232,34.147966,38.511166
35,0.600012,15.553600,0.846528,36.059926,0.943086,34.382623,38.821884
36,0.616679,15.087500,0.846048,36.038236,0.943411,34.485139,38.961669
37,0.633346,15.020200,0.998720,36.041587,0.943840,34.479755,38.981769
38,0.650013,14.523500,1.004704,36.073702,0.944520,34.494582,38.947448
39,0.666680,14.716200,0.846784,36.156264,0.945222,34.482733,38.838573
40,0.683347,14.377500,0.845856,36.184387,0.945942,34.475286,38.770724
41,0.700014,14.515600,0.851712,36.175088,0.946545,34.424423,38.674966
42,0.716681,14.353000,0.845824,36.213729,0.947315,34.397580,38.483658
43,0.733348,14.764400,0.852896,36.321155,0.948380,34.315992,38.231358
44,0.750015,14.997200,1.236352,36.309159,0.949152,34.213912,37.967607
45,0.766682,25.072100,0.874112,36.335874,0.949884,34.103050,37.761223
46,0.783349,15.363800,1.064288,36.382125,0.950860,34.001882,37.468524
47,0.800016,14.736000,0.901760,36.297824,0.951559,33.935639,37.273191
