weights,view,psnr,ssim,worst
heuristic,val-sponza-r4-p1.3-30,47.14,0.9934,46.24
heuristic,val-proc-t80-p4.0-60,34.01,0.9721,33.69
heuristic,val-sponza-r2-p1.0-20,33.34,0.8995,32.81
heuristic,val-proc-t100-p5.0-20,32.81,0.9661,32.02
captures/ml/weights/blend-c8-c16.bin,val-sponza-r4-p1.3-30,47.55,0.9941,45.85
captures/ml/weights/blend-c8-c16.bin,val-proc-t80-p4.0-60,34.20,0.9735,33.54
captures/ml/weights/blend-c8-c16.bin,val-sponza-r2-p1.0-20,33.40,0.9010,32.92
captures/ml/weights/blend-c8-c16.bin,val-proc-t100-p5.0-20,33.21,0.9690,32.57
captures/ml/weights/blend-c4-c8.bin,val-sponza-r4-p1.3-30,43.06,0.9902,40.34
captures/ml/weights/blend-c4-c8.bin,val-proc-t80-p4.0-60,34.23,0.9736,33.37
captures/ml/weights/blend-c4-c8.bin,val-sponza-r2-p1.0-20,33.25,0.8997,32.78
captures/ml/weights/blend-c4-c8.bin,val-proc-t100-p5.0-20,33.09,0.9685,32.46
captures/ml/weights/blend-c12-c24.bin,val-sponza-r4-p1.3-30,43.06,0.9901,40.34
captures/ml/weights/blend-c12-c24.bin,val-proc-t80-p4.0-60,34.27,0.9739,33.39
captures/ml/weights/blend-c12-c24.bin,val-sponza-r2-p1.0-20,33.31,0.8999,32.89
captures/ml/weights/blend-c12-c24.bin,val-proc-t100-p5.0-20,33.18,0.9692,32.49
captures/ml/weights/blend-c8-c16-sponza.bin,val-sponza-r4-p1.3-30,47.77,0.9942,46.51
captures/ml/weights/blend-c8-c16-sponza.bin,val-proc-t80-p4.0-60,33.87,0.9710,33.37
captures/ml/weights/blend-c8-c16-sponza.bin,val-sponza-r2-p1.0-20,33.39,0.9004,32.91
captures/ml/weights/blend-c8-c16-sponza.bin,val-proc-t100-p5.0-20,32.78,0.9658,32.07
captures/ml/logs/blend-c8-c16-13paths.bin,val-sponza-r4-p1.3-30,47.48,0.9940,46.25
captures/ml/logs/blend-c8-c16-13paths.bin,val-proc-t80-p4.0-60,34.24,0.9736,33.57
captures/ml/logs/blend-c8-c16-13paths.bin,val-sponza-r2-p1.0-20,33.39,0.9006,32.89
captures/ml/logs/blend-c8-c16-13paths.bin,val-proc-t100-p5.0-20,33.19,0.9689,32.74
captures/ml/exp/c8-c16-charbonnier-s1.bin,val-sponza-r4-p1.3-30,48.00,0.9941,47.11
captures/ml/exp/c8-c16-charbonnier-s1.bin,val-proc-t80-p4.0-60,34.27,0.9739,33.42
captures/ml/exp/c8-c16-charbonnier-s1.bin,val-sponza-r2-p1.0-20,33.41,0.9008,32.88
captures/ml/exp/c8-c16-charbonnier-s1.bin,val-proc-t100-p5.0-20,33.23,0.9693,32.55
captures/ml/exp/c8-c16-charbonnier-s2.bin,val-sponza-r4-p1.3-30,47.77,0.9941,45.64
captures/ml/exp/c8-c16-charbonnier-s2.bin,val-proc-t80-p4.0-60,34.25,0.9738,33.44
captures/ml/exp/c8-c16-charbonnier-s2.bin,val-sponza-r2-p1.0-20,33.45,0.9017,32.98
captures/ml/exp/c8-c16-charbonnier-s2.bin,val-proc-t100-p5.0-20,33.19,0.9692,32.58
captures/ml/exp/c8-c16-charbonnier-s3.bin,val-sponza-r4-p1.3-30,47.71,0.9941,46.58
captures/ml/exp/c8-c16-charbonnier-s3.bin,val-proc-t80-p4.0-60,34.33,0.9741,33.48
captures/ml/exp/c8-c16-charbonnier-s3.bin,val-sponza-r2-p1.0-20,33.42,0.9014,32.92
captures/ml/exp/c8-c16-charbonnier-s3.bin,val-proc-t100-p5.0-20,33.20,0.9691,32.68
captures/ml/exp/c8-c16-mse-s1.bin,val-sponza-r4-p1.3-30,46.76,0.9938,44.80
captures/ml/exp/c8-c16-mse-s1.bin,val-proc-t80-p4.0-60,34.12,0.9725,33.69
captures/ml/exp/c8-c16-mse-s1.bin,val-sponza-r2-p1.0-20,33.37,0.8995,32.88
captures/ml/exp/c8-c16-mse-s1.bin,val-proc-t100-p5.0-20,33.08,0.9673,32.60
captures/ml/exp/c8-c16-mse-s2.bin,val-sponza-r4-p1.3-30,46.11,0.9934,44.39
captures/ml/exp/c8-c16-mse-s2.bin,val-proc-t80-p4.0-60,34.10,0.9724,33.46
captures/ml/exp/c8-c16-mse-s2.bin,val-sponza-r2-p1.0-20,33.35,0.8987,32.89
captures/ml/exp/c8-c16-mse-s2.bin,val-proc-t100-p5.0-20,33.04,0.9668,32.58
captures/ml/exp/c8-c16-mse-s3.bin,val-sponza-r4-p1.3-30,46.74,0.9935,44.87
captures/ml/exp/c8-c16-mse-s3.bin,val-proc-t80-p4.0-60,34.10,0.9725,33.46
captures/ml/exp/c8-c16-mse-s3.bin,val-sponza-r2-p1.0-20,33.35,0.8985,32.90
captures/ml/exp/c8-c16-mse-s3.bin,val-proc-t100-p5.0-20,33.01,0.9667,32.43
